Caste,material,Water weight for volume (g),Length (cm),diameter/width (cm),,
gyne,cell,2.5264,2.34,1.5,,
gyne,cell,2.0751,2.39,1.48,,
gyne,cell,2.7976,2.3,1.62,,
gyne,cell,2.6432,2.36,1.63,,
gyne,cell,2.4029,2.43,1.53,,
gyne,cell,2,,,2.35,0.35
gyne,cell,2.31,,,2.72,0.41
gyne,cell,2.7,,,3.16,0.46
gyne,cell,2.61,,,3,0.39
gyne,cell,2.27,,,2.76,0.49
gyne,cell,2.07,,,2.23,0.16
gyne,cell,1.8,,,2.09,0.29
gyne,cell,2.46,,,2.78,0.32
gyne,cell,2.52,,,2.91,0.39
gyne,cell,2.6,,,2.94,0.34
gyne,cell,2.58,,,2.99,0.41
gyne,cell,2.02,,,2.48,0.46
gyne,cell,2.45,,,2.96,0.51
gyne,cell,2.22,,,2.55,0.33
gyne,cell,2.52,,,2.99,0.47
gyne,cell,1.84,,,2.07,0.23
gyne,cell,2.6,,,2.97,0.37
gyne,cell,2.5,,,2.86,0.36
gyne,cell,2.54,,,3.07,0.53
gyne,cell,3.11,,,3.5,0.39
worker,cell,1.3567,1.58,1.18,,
worker,cell,1.2296,1.68,1.14,,
worker,cell,1.0082,1.71,1.18,,
worker,cell,1.153,1.73,1.2,,
worker,cell,1.3828,1.86,1.19,,
worker,cell,0.64,,,0.92,0.28
worker,cell,1.24,,,1.44,0.2
worker,cell,1.01,,,1.2,0.19
worker,cell,1.18,,,1.55,0.37
worker,cell,0.99,,,1.44,0.45
worker,cell,1.14,,,1.43,0.29
worker,cell,1.27,,,1.55,0.28
worker,cell,0.98,,,1.25,0.27
worker,cell,0.93,,,1.15,0.22
worker,cell,1.28,,,1.52,0.24
worker,cell,1.04,,,1.33,0.29
worker,cell,1.2,,,1.45,0.25
worker,cell,1.21,,,1.44,0.23
worker,cell,1.15,,,1.39,0.24
worker,cell,1.36,,,1.6,0.24
worker,cell,1.36,,,1.67,0.31
worker,cell,1.03,,,1.68,0.65
worker,cell,1.35,,,1.57,0.22
worker,cell,1.4,,,1.7,0.3
worker,cell,1.33,,,1.55,0.22